step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
1,7.30027,0.25,9.2615,0.25,,
2,10.73621,0.25,9.44178,0.5,,
3,9.56514,0.25,10.81888,0.25,,
4,8.66793,0.25,8.52589,0.25,,
5,7.14792,0.25,7.48306,0.25,,
6,5.88039,0.5,6.02816,0.75,,
7,5.49108,0.75,3.48228,0.75,,
8,3.32246,0.5,3.45459,0.75,,
9,2.83913,0.75,3.44473,0.75,,
10,4.31438,0.5,1.34799,0.75,,
11,1.76586,0.75,2.22103,0.75,,
12,2.58209,0.75,1.32787,0.75,,
13,0.77821,0.75,0.60194,1.0,,
14,0.72374,0.75,0.46619,0.75,,
15,0.44185,1.0,0.2677,1.0,,
16,0.327,1.0,0.19168,1.0,,
17,0.04587,1.0,0.18192,1.0,,
18,0.05871,1.0,0.04821,1.0,,
19,0.02116,1.0,0.01057,1.0,,
20,0.01017,1.0,0.00269,1.0,,
21,0.00424,1.0,0.0113,1.0,,
22,0.02334,1.0,0.00068,1.0,,
23,0.00331,1.0,0.00055,1.0,,
24,0.00048,1.0,0.00032,1.0,,
25,0.00061,1.0,0.00028,1.0,,
26,0.00025,1.0,0.00024,1.0,,
27,0.00014,1.0,0.00015,1.0,,
28,8e-05,1.0,0.00014,1.0,,
29,7e-05,1.0,3e-05,1.0,,
30,6e-05,1.0,0.01978,1.0,,
31,3e-05,1.0,0.0001,1.0,,
32,8e-05,1.0,5e-05,1.0,,
33,3e-05,1.0,4e-05,1.0,,
34,2e-05,1.0,5e-05,1.0,,
35,0.00032,1.0,0.00034,1.0,,
36,0.0001,1.0,0.0005,1.0,,
37,0.00051,1.0,0.0063,1.0,,
38,0.0026,1.0,0.00127,1.0,,
39,0.01603,1.0,0.00663,1.0,,
40,0.01659,1.0,0.00318,1.0,,
41,0.00385,1.0,0.00059,1.0,,
42,0.00031,1.0,0.00094,1.0,,
43,0.03205,1.0,0.00061,1.0,,
44,0.00143,1.0,0.00027,1.0,,
45,0.0016,1.0,2e-05,1.0,,
46,3e-05,1.0,0.00023,1.0,,
47,5e-05,1.0,0.0002,1.0,,
48,0.00012,1.0,3e-05,1.0,,
49,1e-05,1.0,0.00017,1.0,,
50,2e-05,1.0,4e-05,1.0,,
51,2e-05,1.0,0.00023,1.0,,
52,0.00024,1.0,4e-05,1.0,,
53,7e-05,1.0,0.0017,1.0,,
54,0.00041,1.0,0.00012,1.0,,
55,0.0001,1.0,0.00021,1.0,,
56,9e-05,1.0,0.00046,1.0,,
57,0.00102,1.0,0.00027,1.0,,
58,0.00062,1.0,0.00015,1.0,,
59,0.00046,1.0,0.0001,1.0,,
60,0.00018,1.0,0.00055,1.0,,
61,0.0008,1.0,0.00024,1.0,,
62,0.00017,1.0,0.00015,1.0,,
63,0.00063,1.0,0.0003,1.0,,
64,0.0005,1.0,0.00026,1.0,,
65,6e-05,1.0,0.00035,1.0,,
66,0.00013,1.0,0.00014,1.0,,
67,0.00055,1.0,0.00018,1.0,,
68,0.00014,1.0,0.00287,1.0,,
69,0.00011,1.0,0.00502,1.0,,
70,0.00015,1.0,0.00066,1.0,,
71,9e-05,1.0,0.00014,1.0,,
72,0.00202,1.0,0.00523,1.0,,
73,0.00283,1.0,0.00333,1.0,,
74,0.00327,1.0,0.00017,1.0,,
75,0.00129,1.0,0.00026,1.0,,
76,0.00033,1.0,0.00091,1.0,,
77,0.00022,1.0,4e-05,1.0,,
78,6e-05,1.0,0.00012,1.0,,
79,4e-05,1.0,3e-05,1.0,,
80,0.00046,1.0,3e-05,1.0,,
81,9e-05,1.0,8e-05,1.0,,
82,0.00051,1.0,0.00015,1.0,,
83,5e-05,1.0,2e-05,1.0,,
84,4e-05,1.0,0.00012,1.0,,
85,6e-05,1.0,6e-05,1.0,,
86,7e-05,1.0,0.00023,1.0,,
87,5e-05,1.0,0.0002,1.0,,
88,4e-05,1.0,7e-05,1.0,,
89,8e-05,1.0,0.00012,1.0,,
90,5e-05,1.0,0.00011,1.0,,
91,0.00011,1.0,5e-05,1.0,,
92,0.00037,1.0,9e-05,1.0,,
93,7e-05,1.0,5e-05,1.0,,
94,0.00017,1.0,6e-05,1.0,,
95,0.00104,1.0,0.0004,1.0,,
96,0.0001,1.0,0.00039,1.0,,
97,0.00031,1.0,0.00021,1.0,,
98,0.00018,1.0,0.00011,1.0,,
99,0.00066,1.0,0.00011,1.0,,
